,m2_idx,walcl_idx,cpi_idx,pwr_idx,inc_idx
2011-07-01,110.22093256425683,,103.63560288383727,96.49193637835799,
2011-07-06,,128.3987770790908,,,
2011-07-13,,128.75537287098308,,,
2011-07-20,,128.45237157898882,,,
2011-07-27,,128.10678100159978,,,
2011-08-01,112.42436038076364,,103.96251747222836,96.18851335214457,
2011-08-03,,128.26957765028828,,,
2011-08-10,,128.50256609391832,,,
2011-08-17,,127.8531242282929,,,
2011-08-24,,127.9214370841729,,,
2011-08-31,,127.67337239140626,,,
2011-09-01,112.66617124927751,,104.18827705436622,95.98008799763456,
2011-09-07,,127.88685565811181,,,
2011-09-14,,128.10517048240416,,,
2011-09-21,,127.84601110184566,,,
2011-09-28,,127.54063876770229,,,
2011-10-01,113.05424820411194,,104.25862576326051,95.91532524807056,
2011-10-05,,127.93342650485124,,,
2011-10-12,,127.98357628313643,,,
2011-10-19,,127.6063568982116,,,
2011-10-26,,127.30639769803122,,,
2011-11-01,113.66880167970086,,104.45128007062459,95.73841501261175,
2011-11-02,,126.24833132316678,,,
2011-11-09,,127.04249623317455,,,
2011-11-16,,126.67520838328925,,,
2011-11-23,,126.24591554437339,,,
2011-11-30,,125.8994302340979,,,
2011-12-01,114.2279155903134,,104.47610902670492,95.71566258697403,
2011-12-07,,126.18825000984206,,,
2011-12-14,,129.8475733054654,,,
2011-12-21,,130.45585745831437,,,
2011-12-28,,130.90367126797966,,,
2012-01-01,115.09725515175107,,104.76072243066285,95.45562275612046,98.12878370941111
2012-01-04,,130.5276150358072,,,
2012-01-11,,129.69819765007355,,,
2012-01-18,,130.60518837706192,,,
2012-01-25,,130.61064624766922,,,
2012-02-01,115.7129881925522,130.85231360029778,104.98464283086884,95.25202668079831,
2012-02-08,,131.00119715260206,,,
2012-02-15,,131.431474197693,,,
2012-02-22,,131.20421204453623,,,
2012-02-29,,130.8869844996475,,,
2012-03-01,116.23317645116009,,105.2044250717281,95.05303596480877,
2012-03-07,,129.05390049854518,,,
2012-03-14,,129.44816454495677,,,
2012-03-21,,129.40727525204625,,,
2012-03-28,,128.75819127957539,,,
2012-04-01,116.86778253535746,,105.37914735525639,94.89543473233647,
2012-04-04,,128.1918700991006,,,
2012-04-11,,128.26890660062344,,,
2012-04-18,,128.63887864916808,,,
